spp,svl,hw,hl,td,ew,tl,sl,fl,end,nsd,iod,ind,dsa,,,,,,,,,,
rpa,66.24,22.23,19.65,4.36,6.96,35.69,40.79,56.62,4.06,3.26,4.34,5.38,1.202439739,,,,,,,,,,
rpa,31.53,10.69,11.06,2.65,3.28,17.75,19.76,28.97,2.62,2.97,2.41,2.73,1.008779,,,,,,,,,,
rpa,54.63,17.83,18.59,3.91,5.08,32.77,36.01,49.65,4.35,4.01,2.7,4.5,1.000303948,,,,,,,,,,
rpa,41.61,13.63,13.38,3.06,3.75,22.49,25.72,37.05,3.62,3.28,2.83,3.45,1.068840707,,,,,,,,,,
rpa,58.76,19.62,20.38,4.47,4.31,31.46,34.94,47.2,4.6,3.97,3.81,4.05,1.004398198,,,,,,,,,,
rpa,51.69,17.28,17.9,4.02,3.72,28.05,29.08,42.51,3.6,4.27,3.66,3.11,1.007427996,,,,,,,,,,
rpa,62.9,20.7,20.69,3.74,3.34,31.18,34.7,47.46,5.3,4.74,4.33,4.7,1.047755692,,,,,,,,,,
rpa,47.96,17.05,17.22,4.16,4.37,25.19,28.89,39.71,3.44,3.72,3.57,4.54,1.035816702,,,,,,,,,,
rpa,48.84,18.11,16.04,4.43,4.25,24.55,27.64,40.48,3.31,3.57,3.78,3.25,1.199718216,,,,,,,,,,
rpa,47.2,15.44,16.79,4.05,3.81,22.46,28.47,41.42,3.65,2.55,3.57,3.35,0.955534298,,,,,,,,,,
rpa,47.38,15.24,15.55,3.83,3.55,24.26,25.62,37.92,4.02,3.15,3.75,3.05,1.024253279,,,,,,,,,,
rpa,58.03,19.66,19.4,4.23,4.03,30.19,35.63,49.64,4.49,3,4.5,3.73,1.062707797,,,,,,,,,,
rpa,60.87,21.66,21.05,4.42,4.55,30.07,34.53,51.79,4.8,4.42,5.32,4.35,1.08082397,,,,,,,,,,
rpa,46.57,14.57,15.81,4.31,3.77,23.3,29.73,42.55,3.35,3.19,3.49,2.71,0.957757435,,,,,,,,,,
rpa,45.68,15.75,15.84,2.79,3.36,24.05,25.34,39.69,3.62,3.05,2.86,2.91,1.040642942,,,,,,,,,,
rpa,56.36,18.22,18.82,4.24,4.34,28.38,33.65,48.59,4.05,3.91,3.83,3.18,1.010576093,,,,,,,,,,
rpa,61.31,20.43,20.11,3.91,2.72,33.93,36.55,50.54,4.83,3.74,5.06,3.66,1.065620953,,,,,,,,,,
rpa,49.47,17.46,17.47,4.26,3.48,28.34,31.52,45.86,4.45,2.88,4.18,3.89,1.046536652,,,,,,,,,,
rpa,44.19,16.51,15.64,3.18,3.57,26.47,28.39,38.74,3.25,2.61,3.81,2.91,1.112047947,,,,,,,,,,
rpa,54.64,18.27,17.41,3.71,4.38,29.46,32.79,45.58,4.77,3.61,2.41,4.32,1.104721691,,,,,,,,,,
rpa,52.84,17.69,16.46,3.83,3.77,23.61,30.76,44.31,4.11,3.6,2.93,4.14,1.134615066,,,,,,,,,,
rpa,46.25,16.01,14.64,4.03,3.58,23.32,27.43,40.79,3.66,3.48,4.14,3.89,1.15705014,,,,,,,,,,
rpa,48.98,17.08,17.01,4.2,4.26,25.48,29.48,45.48,3.78,3.53,4.52,4.1,1.051952673,,,,,,,,,,
rpi,63.7,20.44,20.93,5.21,8.07,33.21,43.2,60.17,5.21,3.21,4.2,4.24,1.020268284,,,,,,,,,,
rpi,58.06,17.29,17.93,4.08,5.86,28.57,34.39,47.76,4.27,4.11,3.22,4.36,1.006220728,,,,,,,,,,
rpi,73.96,23.78,21.33,6.5,6.82,45.27,45.54,66.75,4.89,6.43,3.63,5.4,1.182576086,,,,,,,,,,
rpi,49.83,15.21,15.39,3.45,3.74,20.87,28.12,41.89,3.27,3.17,4.06,2.91,1.033718404,,,,,,,,,,
rpi,69.54,21.54,22.5,5.08,6.84,40.24,41.6,58.5,4.71,4.05,2.99,5.4,0.998270948,,,,,,,,,,
rpi,65.02,20.77,19.85,5.17,7.9,36.4,39.46,58.3,4.95,4.59,4.65,5.25,1.101141691,,,,,,,,,,
rpi,60.94,20.19,21.21,4.81,7.49,32.8,35.98,52.84,4.62,4.47,4.49,3.63,0.992098594,,,,,,,,,,
rpi,73.97,23.23,22.97,6.92,8.45,41.22,44.77,63.97,5.78,5.5,3.59,5.79,1.06029258,,,,,,,,,,
rpi,79.63,25.47,25.64,5.72,8.52,44.23,48.46,66.82,6.08,7.11,3.6,5.66,1.039550003,,,,,,,,,,
rpi,59.34,21.85,19.71,4.8,7.01,37.14,40.19,57.26,4.9,5.58,4.5,4.83,1.175012565,,,,,,,,,,
rpi,56.83,18.76,19.11,3.68,6.78,29.5,35.05,49.06,4.41,4.37,3.77,5.01,1.026112965,,,,,,,,,,
rpi,45.44,14.06,15.7,3.22,5.75,24.14,25.96,38.89,3.73,3.51,2.99,4.38,0.928541137,,,,,,,,,,
rpi,46.67,14.57,15.22,3.52,5.6,23.62,28.44,41.27,3.75,3.11,3.1,3.77,0.998225051,,,,,,,,,,
rpi,65.42,21.68,19.03,3.92,6.33,33.1,36.84,51.83,4.3,5.87,4.05,4.35,1.212103687,,,,,,,,,,
rpi,60.7,19.61,18.53,4.9,6.5,30.44,34.98,49.05,4.38,3.59,3.79,3.15,1.115178019,,,,,,,,,,
rpi,61.07,19.66,18.11,4.13,5.47,30.99,35.58,47.93,4.56,3.78,3.93,4.42,1.147520624,,,,,,,,,,
