Plant ID,Shelter,Plot,Pot,Species,Amount,Frequency,1st leaf measurement,1st plant height measurement,2nd leaf measurement,2nd plant height measurement,Above-ground biomass,Below-ground biomass,Above- to below-ground ratio,Sp_name,Type
165,2,11,188,Canada wild rye,90,15,18,22,20,64.5,6.9874,2.9585,9.230901337,Elymus_can,monocot
170,2,12,210,Canada wild rye,90,30,14,35,23,74,8.8208,6.0245,8.389261745,Elymus_can,monocot
271,3,13,229,Canada wild rye,70,3,16,21.5,23,57.5,5.4045,4.9315,10.63928208,Elymus_can,monocot
209,3,14,233,Canada wild rye,70,15,15,23,20,60,3.5259,4.5132,17.01693185,Elymus_can,monocot
292,3,15,266,Canada wild rye,70,30,6,40,17,78,6.3644,3.7922,12.25567218,Elymus_can,monocot
240,3,16,273,Canada wild rye,90,3,11,33,18,22,4.9401,2.7712,4.453351147,Elymus_can,monocot
272,3,17,295,Canada wild rye,90,15,9,34,8,50,3.5858,3.9088,13.94388979,Elymus_can,monocot
280,3,18,319,Canada wild rye,90,30,9,27,20,79,10.3456,9.0845,7.636096505,Elymus_can,monocot
333,4,19,326,Canada wild rye,70,3,8,31,15,91,6.2501,1.2144,14.55976704,Elymus_can,monocot
308,4,20,343,Canada wild rye,70,15,8,33,6,74,3.8271,3.431,19.3357895,Elymus_can,monocot
313,4,21,358,Canada wild rye,70,30,8,24,14,63.5,3.667,2.3254,17.31660758,Elymus_can,monocot
331,4,22,381,Canada wild rye,90,3,16,33,23,72,8.6368,7.0425,8.336420897,Elymus_can,monocot
